id,last_scraped,source,host_id,host_since,host_location,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1885504,9/15/2022,city scrape,9805687,11/4/2013,"Nashville, TN",f,10,13,t,t,"Nashville, Tennessee, United States",District 16,,36.10963,-86.74195,Entire condo,Entire home/apt,6,,2 baths,2,3,$139.00 ,2,365,1,8,1125,1125,2.6,1125,,t,9,26,52,299,9/15/2022,170,8,0,11/18/2013,5/10/2022,4.7,4.85,4.63,4.94,4.96,4.79,4.82,,t,9,9,0,0,1.58
1951714,9/16/2022,city scrape,7720839,7/25/2013,"Nashville, TN",f,4,6,t,t,"Nashville, Tennessee, United States",District 19,,36.14721,-86.78759,Shared room in home,Shared room,3,,1 shared bath,1,1,$500.00 ,1,28,1,2,28,28,1.3,28,,t,30,60,89,89,9/16/2022,7,0,0,12/10/2013,9/11/2017,4.86,4.86,4.86,5,5,4.86,5,,f,4,0,2,2,0.07
1954040,9/15/2022,city scrape,8196681,8/16/2013,"Nashville, TN",t,1,5,t,t,"Nashville, Tennessee, United States",District 7,,36.20443,-86.72778,Private room in bungalow,Private room,2,,1 private bath,1,1,$68.00 ,1,1125,1,1,1125,1125,1,1125,,t,13,31,59,321,9/15/2022,335,55,7,1/2/2014,9/4/2022,4.9,4.9,4.79,4.97,4.98,4.83,4.89,,f,1,0,1,0,3.16
2071080,9/16/2022,previous scrape,7720839,7/25/2013,"Nashville, TN",f,4,6,t,t,"Nashville, Tennessee, United States",District 19,,36.14717,-86.78754,Shared room in home,Shared room,1,,1 shared bath,1,1,$104.00 ,1,99,1,2,99,99,1.3,99,,t,0,0,0,0,9/16/2022,2,0,0,8/8/2016,5/5/2018,5,5,5,5,5,5,4.5,,f,4,0,2,2,0.03
2083878,9/15/2022,city scrape,10643952,12/15/2013,"Nashville, TN",t,1,3,t,t,"Nashville, Tennessee, United States",District 19,,36.17074,-86.79057,Entire guest suite,Entire home/apt,5,,1.5 baths,2,2,$123.00 ,1,29,1,2,1125,1125,1.4,1125,,t,2,9,27,50,9/15/2022,556,59,4,12/31/2013,8/25/2022,4.84,4.93,4.94,4.92,4.86,4.7,4.85,,f,1,1,0,0,5.24
2138177,9/15/2022,city scrape,6521193,5/22/2013,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 6,,36.16137,-86.75327,Entire guest suite,Entire home/apt,4,,1 bath,1,1,$140.00 ,30,31,30,30,1125,1125,30,1125,,t,14,44,74,164,9/15/2022,407,14,0,2/10/2014,2/27/2022,4.98,4.97,4.98,4.99,4.96,4.69,4.91,,f,1,1,0,0,3.89
2170733,9/15/2022,city scrape,6036692,4/22/2013,"Nashville, TN",f,1,2,t,t,"Nashville, Tennessee, United States",District 6,,36.18854,-86.74452,Entire home,Entire home/apt,2,,1 bath,2,2,$100.00 ,30,90,30,30,90,90,30,90,,t,9,39,69,69,9/15/2022,54,0,0,4/19/2014,3/16/2020,4.92,4.96,4.88,4.96,4.92,4.67,4.85,,f,1,1,0,0,0.53
2172240,9/15/2022,city scrape,171184,7/18/2010,"Nashville, TN",t,2,2,t,t,,District 25,,36.12472,-86.81339,Private room in home,Private room,2,,1 private bath,1,2,$100.00 ,1,15,1,1,15,15,1,15,,t,0,0,0,162,9/15/2022,588,0,0,1/17/2014,11/1/2020,4.88,4.92,4.83,4.98,4.96,4.93,4.91,,f,2,0,2,0,5.58
2181743,9/15/2022,city scrape,7073590,6/23/2013,"Nashville, TN",t,15,18,t,t,"Nashville, Tennessee, United States",District 6,,36.16976,-86.73837,Entire home,Entire home/apt,10,,2 baths,3,4,$252.00 ,1,1125,1,4,1125,1125,3.2,1125,,t,7,27,49,324,9/15/2022,510,82,8,5/27/2014,9/10/2022,4.94,4.97,4.97,4.97,4.98,4.96,4.9,,t,15,15,0,0,5.04
2261942,9/15/2022,city scrape,11550460,1/22/2014,"Nashville, TN",t,1,2,t,t,"Nashville, Tennessee, United States",District 5,,36.18181,-86.7528,Private room in bungalow,Private room,2,,1 private bath,1,1,$95.00 ,2,14,1,2,14,14,2,14,,t,7,18,38,116,9/15/2022,600,70,6,4/21/2014,9/11/2022,4.92,4.94,4.8,4.98,4.97,4.9,4.91,,f,1,0,1,0,5.86
