id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
564377192770753576,Blue Bungalow 💙 2 Bedroom + Mins to Broadway,1542713,Brandon,,District 17,36.13553,-86.78655,Entire home/apt,144,3,28,2022-08-29,4.20,26,284,28,
564421281646559350,Walking distance to downtown!  Hot Tub/Sauna,445175023,Jillian,,District 6,36.16337,-86.74993,Entire home/apt,170,2,2,2022-07-05,0.80,2,334,2,
564424930204240639,Downtown high rise ultra lights,443705653,Pressure,,District 21,36.15753,-86.81095,Entire home/apt,232,3,0,,,1,365,0,
564425208836366323,Your perfect “GETAWAY” 7 Mins from Downtown,445535783,Janee,,District 2,36.19182,-86.80172,Entire home/apt,180,2,0,,,1,362,0,
564428460637450007,Draper's Den-Nashville Home w Private Rooftop,335977682,Allen,,District 2,36.18825,-86.81473,Entire home/apt,263,2,19,2022-08-29,2.84,67,343,19,
564434555153339875,✨Brand New✨Clean & Serene • 7 min→Broadway!,88959664,Julian,,District 2,36.18708,-86.80325,Entire home/apt,208,2,40,2022-09-10,5.91,41,313,40,
564462441037548519,"Chic apt w/ amenities, parking-ideal for Travel RN",59088657,Makaela,,District 17,36.12202,-86.77603,Entire home/apt,100,30,0,,,1,16,0,
564507147508871705,Steps to Broadway with Pool and Secure Parking!,166253620,Austin,,District 19,36.15545,-86.77491,Entire home/apt,166,1,38,2022-09-10,5.94,2,335,38,
564510975068137768,Entire residential 3 Bed/2.5 Bath home,81736394,Jason,,District 28,36.0771,-86.66756,Entire home/apt,146,30,6,2022-09-07,3.16,1,334,6,
564627534089749179,RECENTLY REMODELED - 2BR - 12 Min to DTN NASH!,32592159,Stacy And Casey,,District 14,36.15149,-86.63892,Entire home/apt,91,31,2,2022-06-28,0.55,5,107,2,
565060772864873078,Brand New Build w/ Pool 1 Mile to Broadway!,445595116,Alex,,District 17,36.1462,-86.78246,Entire home/apt,379,2,34,2022-09-11,5.05,1,310,34,
565143230373064984,Muse | Luxury downtown condo with sunset views & central AC,134126657,Vacasa Tennessee,,District 19,36.15422,-86.76281,Entire home/apt,277,2,6,2022-06-23,0.93,114,361,6,
565148199155712399,"City Views, Garage Parking 1.5  Miles to Broadway",441326096,Rob,,District 5,36.18726,-86.76314,Entire home/apt,354,2,11,2022-09-11,2.37,2,329,11,
565157182076189944,Charming & Stylish ✨ Lake Area ⛵️ Easy Drive to DT,307052796,LiVV,,District 11,36.24484,-86.63573,Entire home/apt,207,30,2,2022-08-31,1.13,11,158,2,
565185054332507265,New & Peaceful 🏠 by Lake ✈️ Mins to Opry & AIRPT,307052796,LiVV,,District 11,36.2447,-86.63689,Entire home/apt,266,30,1,2022-04-05,0.18,11,133,1,
565193968335320232,Comfy & Spacious 🏠 4 Big Beds 🚙 Easy Drive to DT,307052796,LiVV,,District 11,36.24416,-86.63702,Entire home/apt,217,30,0,,,11,156,0,
565200216642718660,Acoustic Retreat #7 Music Row - 1 Full Bedroom Apt,205597402,Mark,,District 17,36.138737,-86.79361,Entire home/apt,104,1,45,2022-09-13,7.22,10,76,45,
565230614329676687,Queen Beds- Big Pool/Big Gym close to Broadway,104922280,Heather,,District 19,36.15488815307617,-86.7754135131836,Entire home/apt,205,2,19,2022-09-11,3.13,1,329,19,
565240134350934589,🚶🏻‍♀️2 BLOCK WALK TO BROADWAY | 🧳Nash LUX Apt 💎,392402961,Beth,,District 19,36.15572,-86.77424,Entire home/apt,230,1,22,2022-08-21,3.38,1,168,22,
565242751663974256,"Location!! Recently Remodeled, 1 BR/1 Bath condo",14657565,Daphne,,District 24,36.14327,-86.85718,Entire home/apt,70,30,0,,,5,360,0,
565762611545250858,Large Group Fun @ Bloc 51 ~ 36 Total Guest Welcome,276055285,"Beamer, At Bloc 51",,District 20,36.1591726,-86.8490399,Entire home/apt,1371,2,0,,,4,303,0,
565940487376896651,2 SIDE BY SIDE CONDOS ★ SLEEP 10 ★ GUITAR POOL!,34316903,Derek & Lacey,,District 19,36.15024,-86.79183,Entire home/apt,791,1,1,2022-07-11,0.44,10,269,1,
566096281350369091,Cozy Melody Lane Private Bedroom and Bath Suite,310031523,Just Like Home,,District 3,36.23652,-86.79563,Private room,35,28,1,2022-04-03,0.18,4,0,1,
566110968504344302,The Stone Fox - Whimsical Home and Walkable Locale,17196682,Charli & Neill,,District 20,36.15389,-86.84767,Entire home/apt,211,1,31,2022-09-05,4.97,3,238,31,
566507866685746114,Flourish (1-bedroom private room),166338488,Adegoke,,District 3,36.25399,-86.77447,Private room,85,30,0,,,4,125,0,
566539583194825339,Tangent(1-bedroom private room),166338488,Adegoke,,District 3,36.25472,-86.77305,Private room,85,30,0,,,4,125,0,
566548005141492011,DayStar(1 Private Bedroom),166338488,Adegoke,,District 3,36.25487,-86.77445,Private room,105,30,0,,,4,125,0,
566689385020477879,Stylish 2 Bedroom w Pool / 1 Mile to Broadway!,445595570,Alex,,District 17,36.14695,-86.7819,Entire home/apt,250,2,27,2022-09-09,5.26,1,284,27,
566694379827273792,Best Skyline View in Nashville!,400532192,Benjamin,,District 2,36.19498,-86.77755,Entire home/apt,337,3,15,2022-09-05,2.25,1,235,15,
566708291280837451,NEW BUILD With Pool / 1 Mile to Broadway!,445595902,Alex,,District 19,36.1481,-86.78197,Entire home/apt,176,2,24,2022-09-02,4.65,1,312,24,
566723516644629333,Nash-Jewel | Min to Broadway | Iconic Area,67994775,Music City Magnolia,,District 6,36.18334,-86.73394,Entire home/apt,265,2,17,2022-09-11,2.73,10,155,17,
567161180111374746,"Boho suite |GYM, Pool, Broadway, Fast WI-FI.",476658954,Top Experience Managment,,District 19,36.15404,-86.77583,Entire home/apt,254,1,16,2022-08-28,3.24,1,120,16,
567297669111629592,Luxury 1 Bedroom,360309833,Union,,District 21,36.14987,-86.81996,Entire home/apt,156,2,9,2022-08-21,1.34,1,327,9,
567354652990689146,The Clover-Cottage with Mid-century Modern Accents,85360355,StayLocal,,District 15,36.15195,-86.66067,Entire home/apt,100,1,1,2022-09-07,1,127,364,1,
567429480660607511,"Country Music Oasis WALK 2 BELMONT, 10min Broadway",264572278,Derrick & Elle,,District 18,36.12917,-86.79346,Entire home/apt,174,3,25,2022-09-06,4.29,18,360,25,
567461615968086150,Wilmoth House:  3 BR/1 Bath house in Nashville,260868005,Steph,,District 3,36.23106,-86.77443,Entire home/apt,142,3,26,2022-09-12,4.33,1,337,26,
567472138695330027,Nashville Balcony Home -  2.5 miles to Downtown,46161384,Kimberly,,District 21,36.17675,-86.80407,Entire home/apt,253,2,14,2022-09-12,3.04,1,3,14,
567564263205421127,Brand New & Comfy 🏠 Ground Floor Room ⛵️ Near Lake,307052796,LiVV,,District 11,36.24499,-86.63552,Entire home/apt,285,30,0,,,11,149,0,
567597040580785250,Beautiful house in Woodbine - close to everything!,11690133,Tony,,District 16,36.11271,-86.73763,Entire home/apt,90,30,0,,,1,288,0,
567618598894114423,Downtown Nashville walk to *Broadway*,446256484,Kamar,,District 19,36.15449,-86.776,Entire home/apt,239,1,36,2022-09-15,5.90,1,93,36,
567629617811976627,Monthly rental. Whole house. 20 mins from downtown,397738284,Christina,,District 9,36.25711,-86.70673,Entire home/apt,80,31,20,2022-08-28,6.06,1,61,20,
567660718051404527,Quiet Retreat in East Nashville,15397583,Kara,,District 6,36.17763,-86.73553,Entire home/apt,258,3,5,2022-08-13,0.94,1,318,5,
567764412647993185,Country Farmhouse Private Efficiency sunset views,113359944,Angela,,District 1,36.34926,-86.89536,Entire home/apt,43,30,1,2022-05-02,0.22,2,289,1,
568094245858730979,Country Farmhouse Private 1-bedroom apartment,113359944,Angela,,District 1,36.34877,-86.89769,Entire home/apt,59,30,1,2022-08-20,1,2,149,1,
568099016199460137,Music Row Manor ~ Families & Mellow Groups ONLY,6855810,UrbanNashville,,District 19,36.14794,-86.79607,Entire home/apt,402,1,12,2022-08-28,2.48,86,159,12,
568212135775475722,Roomy  East Nashville 1 bed with salt pool,404910344,Mp,,District 6,36.19026,-86.73681,Entire home/apt,118,30,2,2022-03-11,0.31,5,108,2,
568218552805311569,Modern and cozy condo 10 minutes from downtown,446393241,Alicia And Elizabeth,,District 19,36.15407,-86.76295,Entire home/apt,223,2,16,2022-08-15,2.39,1,303,16,
568245335307143213,Hidden East Nash Gem-Sleeps 6-Walk Nissan Stadium,416964025,Martin,,District 6,36.17046,-86.76211,Entire home/apt,262,1,8,2022-08-21,2.53,1,73,8,
568326995932084711,The Perfect Place,164506715,Matt,,District 20,36.15398,-86.8789,Entire home/apt,142,2,7,2022-09-11,1.45,1,238,7,
568654469113811917,Stylish 1 bedroom condominium,342871757,Frank Ross,,District 27,36.05575,-86.74139,Entire home/apt,50,30,7,2022-04-23,1.04,1,43,7,
568708593199226225,"5 Mins from Downtown, Luxurious and Private Suite",54802343,Corey,,District 2,36.21049,-86.79605,Private room,100,2,13,2022-09-07,2.73,1,17,13,
568827195098153703,TENNESSEE ROW -HEART OF GULCH - 4 MINS TO BROADWAY,20772148,GoodNight,,District 17,36.14593,-86.78491,Entire home/apt,654,1,6,2022-07-29,1.41,124,133,6,
568827259835631368,URBAN ROW - ROOFTOP HOTTUB - HEART OF GULCH,20772148,GoodNight,,District 17,36.14617,-86.78509,Entire home/apt,643,1,15,2022-09-09,2.60,124,114,15,
568867184075824341,Dolly's Big House - 18 Beds! Skydeck Views,2442207,Stephen,,District 21,36.15583,-86.82078,Entire home/apt,371,1,18,2022-09-12,3.12,25,308,18,
568948315653785029,Cozy Loft Apartment minutes to Downtown Nashville,120916927,Kristen,,District 5,36.18708,-86.76445,Entire home/apt,81,30,6,2022-09-05,1.27,1,160,6,
569411780651952326,Charming Home 12 minutes from downtown Nashville,102474904,Hailey,,District 8,36.25883,-86.73122,Entire home/apt,171,2,5,2022-08-28,2.59,1,141,5,
